fma,med_resp_time_med,med_resp_time_fire,med_resp_time_overall
1,4.05,4.32,4.10
2,5.02,4.93,5.15
3,4.27,4.32,4.35
4,4.00,4.58,4.20
5,5.27,5.02,5.42
6,4.97,5.13,5.20
7,4.40,4.22,4.50
8,3.73,4.31,3.97
9,4.38,4.27,4.47
10,5.62,5.32,5.82
11,4.17,4.48,4.33
12,4.02,4.48,4.30
13,4.07,4.43,4.23
14,4.75,4.45,4.88
15,5.45,5.17,5.72
16,6.18,5.32,6.17
17,5.87,6.00,6.07
18,5.42,5.10,5.57
19,4.25,4.55,4.42
20,5.05,4.89,5.17
21,4.25,4.83,4.37
22,4.55,4.65,4.75
23,5.35,5.45,5.53
24,4.25,4.00,4.37
25,4.70,4.42,4.85
26,4.45,4.27,4.52
27,7.23,6.88,7.13
28,4.47,4.47,4.58
29,5.17,4.68,5.22
30,4.57,4.97,4.70
31,4.53,4.43,4.62